altezza; peso; sesso; età; sport; occupazione; esperienza_web; esperienza_cucina; obiettivo; opinione_stile_di_vita; importanza_stile_di_vita; query1; nomericettasinistra1; nomericettadestra1; ordinamentosinistra1; ordinamentodestra1; preferenza1; saporito1; sano1; perd/prend_peso1; facile1; etichette_mostrate1; query2; nomericettasinistra2; nomericettadestra2; ordinamentosinistra2; ordinamentodestra2; preferenza2; saporito2; sano2; perd/prend_peso2; facile2; etichette_mostrate2; query3; nomericettasinistra3; nomericettadestra3; ordinamentosinistra3; ordinamentodestra3; preferenza3; saporito3; sano3; perd/prend_peso3; facile3; etichette_mostrate3; numero_associato
190;112;Male;26-30;0;Private company staff;rarely;1;lose weight;Poorly important;Not healthy;chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Right side recipe;4;1;1;2;0;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;4;1;2;3;0;cake;Cinnamon-Strawberry Cake recipes;Cake Doughnuts recipes;nutriscore;anti-calorie;Left side recipe;1;5;5;5;1;4465109
162;64;Female;31-40;2-3 times at week;Private company staff;rarely;2;lose weight;Very important;Healty;Hamburger;Cream Cheese Pizza Pasties;Pulled Pork with Black Pepper Vinegar;etichette;anti-calorie;Left side recipe;4;4;2;4;0;rice;Cilantro Shrimp with Squash, Chard, and Wild Rice;Salmon Rice Fritters;nutriscore;anti-calorie;Left side recipe;3;4;4;5;1;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Left side recipe;3;5;3;5;1;9681848
175;63;Male;20-25;2-3 times at week;Student;rarely;2;No goals;Very important;Quite healty;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;3;3;3;3;1;carne;Chilli Con Carne For One;Vegetarian Tamales with Pinto Beans recipes;calorie;anti-calorie;Left side recipe;3;3;3;3;0;cassata;Cassata (celebration Cake), Sicily, Italy;Sicilian Cassata Cake recipes;etichette;anti-calorie;Right side recipe;5;1;1;3;1;2680143
174;64;Male;20-25;2-3 times at week;Student;rarely;3;gain weight;Very important;Healty;Mozzarella;Balsamic Rhubarb with Breadpudding and Mozzarella;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;calorie;anti-calorie;Right side recipe;3;1;1;2;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;4;2;1;2;1;Pistacchio;Gelato Al Pistacchio (Pistachio Ice Cream) recipes;Gelato al Pistacchio;calorie;anti-calorie;Left side recipe;3;1;1;3;0;2670935
178;57;Male;20-25; 1 time at week;Student;rarely;4;gain weight;Very important;Healty;Smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Right side recipe;5;3;4;1;1;Spaghetti-mare;Spaghetti Mare e Monti recipes;Frutti Di Mare Linguini;calorie;anti-calorie;Right side recipe;5;3;3;4;1;Tartufo;Tartufo;Pistachio Tartufo recipes;calorie;anti-calorie;Right side recipe;5;1;3;1;0;2879020
169;57;Female;16-19;0;Student;rarely;2;lose weight;Important;Absolutely not healthy;Avocado;Avocado Soft Serve recipes;Turkey, Avocado and Hummus Wrap;proteine;anti-calorie;Right side recipe;5;3;1;5;0;pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);calorie;anti-calorie;Left side recipe;3;4;4;3;1;Sorbetto;Watermelon Sorbetto Popsicles recipes;Mascarpone Sorbetto with Rosemary Honey;calorie;anti-calorie;Left side recipe;5;3;3;4;1;1162924
170;62;Female;20-25;2-3 times at week;Student;rarely;3;No goals;Important;Quite healty;salmon;Smoked Salmon Tartare;Salmon Wellington;calorie;anti-calorie;Right side recipe;5;4;4;5;0;rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;Left side recipe;3;5;5;5;1;cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Left side recipe;5;4;2;3;0;7443393
176;62;Female;20-25;2-3 times at week;Private company staff;daily;1;lose weight;Very important;Healty;cheese;Cheese Omelette recipes;Delilah's 7 Cheese Mac and Cheese;nutriscore;anti-calorie;Left side recipe;4;4;4;5;1;Zucchini;Zucchini Tahini Spread;Crispy Zucchini Chips;proteine;anti-calorie;Right side recipe;5;3;3;5;0;Torta;Caprese Cake;Torta di Castagne - Chestnut Cake;etichette;anti-calorie;Right side recipe;5;1;1;1;0;7358387
167;59;Male;20-25;2-3 times at week;Student;daily;3;No goals;Very important;Quite healty;Meat;Collard Greens;Southern Foodways' Mississippi Delta Hot Tamales;nutriscore;anti-calorie;Right side recipe;4;3;2;2;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;3;1;3;1;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Right side recipe;4;2;1;4;1;1322139
159;61;Female;41-59;0;Unemployed;rarely;4;lose weight;Important;Healty;apple;Double-0-Cinnamon Apple Breakfast Bowl;Apple Cider-Glazed Yeast Doughnuts;nutriscore;anti-calorie;Right side recipe;4;1;1;1;0;carrot;Radish and Carrot Sweet Chutney;Carrot Fries with Lemon-Mint Dip;proteine;anti-calorie;Left side recipe;2;4;5;5;0;salad;Parsnip-Onion Tarte Tatin;Wonky Summer Pasta, Herby Salad, Pear Drop Tartlets recipes;etichette;anti-calorie;Right side recipe;2;5;5;3;1;3297569
185;79;Male;20-25;4-5 times at week;Student;rarely;1;No goals;Very important;Healty;lettuce;Pink's Millennium Dog;BLC (Bacon, Lettuce and Cucumber) with Spicy Cumin-Mint Mayo;nutriscore;anti-calorie;Left side recipe;4;4;4;4;1;cereal;Halibut With Corn Pops And Basil Broth;Nuts and Bolts Snack Mix;calorie;anti-calorie;Right side recipe;4;4;4;3;1;cheesecake;Lemon Cheesecake Cupcakes;Cheesecake-Stuffed Luscious Lemon Cake;calorie;anti-calorie;Left side recipe;5;4;4;3;0;5200105
173;67;Male;20-25; 1 time at week;Student;rarely;2;No goals;Important;Quite healty;shrimp;Shrimp Ceviche;Salt and Pepper Shrimp recipes;nutriscore;anti-calorie;Right side recipe;5;1;1;3;0;watermelon;Calamari, Chile, and Watermelon Salad;Watermelon Rind Pickles;proteine;anti-calorie;Left side recipe;5;5;3;2;1;mozzarella;Plum Tomato Tart recipes;Caprese Skewers with Plum Balsamic Drizzle;proteine;anti-calorie;Left side recipe;2;2;2;1;1;3750582
171;67;Male;20-25; 1 time at week;Student;rarely;2;No goals;Important;Quite healty;potato;Za'atar Potato Chips Recipe;Pretzel Mashed Potato Bites;calorie;anti-calorie;Right side recipe;5;1;1;1;1;salt;Lavender Salt;Salt and Pepper Shrimp;calorie;anti-calorie;Right side recipe;4;2;1;1;1;tomato;Green Tomato Pie;Tomato Pie;etichette;anti-calorie;Right side recipe;5;2;1;1;1;2115776
168;59;Female;41-59;2-3 times at week;Public company staff;daily;3;lose weight;Important;Very healty;mango;Tropical Citrus Shrimp;Seared Chicken & Asparagus With Mango Salsa;etichette;anti-calorie;Left side recipe;4;5;5;5;0;cozze;Cozze Ripiene {Stuffed Mussels} recipes;Steamed Mussels with Chicory: Cozze con Cicoria;calorie;anti-calorie;Left side recipe;5;5;3;4;0;frutti-di-bosco;Forest Fruit Gratin With Zabaglione (Gratin di Frutti di Bosco allo Zabaione) recipes;Forest Fruit Gratin With Zabaglione (Gratin di Frutti di Bosco allo Zabaione) recipes;etichette;anti-calorie;Left side recipe;5;4;5;5;0;4621558
180;60;Male;20-25;4-5 times at week;Student;rarely;2;No goals;Very important;Quite healty;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;1;2;1;1;Salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;nutriscore;anti-calorie;Left side recipe;4;4;1;5;1;Pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;nutriscore;anti-calorie;Right side recipe;5;2;2;2;1;1164452
148;49;Female;31-40; 1 time at week;Personale aziendale privato;daily;3;lose weight;Molto importante;sano;Chicken;Chicken Saltimbocca;Fried Chicken;etichette;anti-calorie;Ricetta lato sinistro;4;4;4;4;0;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato sinistro;5;4;4;4;0;Pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;nutriscore;anti-calorie;Ricetta lato sinistro;4;4;4;4;1;6247219
150;68;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;monthly;3;lose weight;Importante;Abbastanza sano;Tartare;Seaweed Tartare from 'The French Market Cookbook';Grass-Fed Beef Tartare;proteine;anti-calorie;Ricetta lato destro;4;3;3;4;0;Sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;proteine;anti-calorie;Ricetta lato destro;5;3;3;4;1;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Ricetta lato sinistro;5;3;3;5;1;8380315
162;57;Female;20-25;0;Private company staff;rarely;1;lose weight;Very important;Healty;Tomato;Easy Tomato Risotto;Tamale Pie with Fresh Tomato and Corn;etichette;anti-calorie;None of these two;3;3;3;3;0;Sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Left side recipe;4;3;3;4;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Left side recipe;4;4;3;5;1;1646204
165;62;Female;41-59;0;disoccupato;rarely;3;No goals;importante;Cura;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;2;4;4;5;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Ricetta sul lato destro;5;2;3;4;0;Torta;Campari & Grapefruit Sorbet;Torta di Castagne - Chestnut Cake;proteine;anti-calorie;Ricetta sul lato destro;5;3;3;3;1;2055008
172;66;Male;20-25;2-3 times at week;Student;rarely;2;No goals;Important;Quite healty;chicken;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Right side recipe;5;2;3;2;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;4;2;2;0;meat;DOUBLE CHOCOLATE CUPCAKES with BUTTERCREAM FROSTING recipes;Chicken Pot Pie;proteine;anti-calorie;Left side recipe;5;2;5;3;0;4492931
175;70;Male;20-25;2-3 times at week;Student;monthly;3;No goals;Very important;Quite healty;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;4;5;3;1;Pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Left side recipe;5;4;5;5;1;Salmone;Smoked Salmon and Scrambled Eggs on Toast;Parchment Baked Salmon with Lemon and Basil recipes;nutriscore;anti-calorie;Left side recipe;5;5;5;3;1;9756436
175;71;Male;20-25;0;Alunno;rarely;4;No goals;Molto importante;Abbastanza sano;polpo;POLPO AL PINOT NERO con patate e salsa all;POLPO AL PINOT NERO con patate e salsa all;etichette;anti-calorie;Ricetta lato destro;4;1;2;1;1;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;proteine;anti-calorie;Ricetta lato destro;5;3;2;3;1;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Nessuno di questi due;2;1;2;2;1;2813065
169;62;Female;41-59; 1 time at week;disoccupato;rarely;4;No goals;Molto importante;Abbastanza sano;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;proteine;anti-calorie;Ricetta lato sinistro;4;4;4;4;1;risotto-di-mare;Croatian Dalmatian red risotto (fisherman's risotto);Risotto ai Frutti di Mare;nutriscore;anti-calorie;Ricetta lato destro;4;2;3;2;1;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;nutriscore;anti-calorie;Ricetta lato destro;4;1;4;3;0;2111148
169;62;Female;41-59; 1 time at week;disoccupato;rarely;4;No goals;Molto importante;Molto salutare;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Ricetta lato sinistro;4;1;2;3;0;risotto-di-mare;Croatian Dalmatian red risotto (fisherman's risotto);Risotto ai Frutti di Mare;calorie;anti-calorie;Ricetta lato destro;4;2;1;2;1;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;nutriscore;anti-calorie;Ricetta lato destro;4;1;3;3;0;5509354
165;72;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;rarely;2;lose weight;Molto importante;Abbastanza sano;bresaola;Bresaola-Wrapped Persimmons with Arugula recipes;Antipasto Plate;nutriscore;anti-calorie;Ricetta lato sinistro;5;2;2;2;0;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato sinistro;3;5;3;4;1;cioccolata;Anisette Glazed Bittersweet Chocolate Tart: Torta di Cioccolata Amara con Glasse di Anice;Anisette Glazed Bittersweet Chocolate Tart: Torta di Cioccolata Amara con Glasse di Anice;calorie;anti-calorie;Ricetta lato sinistro;1;1;1;1;1;4474579
193;80;Male;20-25;4-5 times at week;Student;rarely;1;No goals;Important;Healty;Chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Left side recipe;1;5;1;1;1;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;Right side recipe;5;1;1;5;0;8960447
175;60;Female;20-25;0;Student;rarely;3;lose weight;Very important;Quite healty;Salmon;Smoked Salmon Collard Wraps;Salmon Wellington;etichette;anti-calorie;Left side recipe;4;3;2;4;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;5;2;1;2;0;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Left side recipe;3;5;5;5;0;9191294
178;78;Male;20-25;2-3 times at week;Student;daily;2;lose weight;Important;Quite healty;Hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Left side recipe;4;4;4;4;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;3;2;2;3;1;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;3;4;4;4;1;3382360
167;50;Female;20-25;0;Student;rarely;2;gain weight;;Quite healty;chicken;Kickin' Chicken;Fried Chicken;calorie;anti-calorie;Left side recipe;4;4;5;2;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;etichette;anti-calorie;Right side recipe;5;4;3;2;0;cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Left side recipe;4;3;3;3;1;2246657
185;82;Male;20-25;4-5 times at week;Private company staff;rarely;1;lose weight;;Quite healty;Smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Left side recipe;3;3;3;2;1;rice;Shrimp Summer Rolls with Sesame-Soy Dipping Sauce recipes;Salmon Rice Fritters;etichette;anti-calorie;Right side recipe;3;2;2;1;1;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Left side recipe;4;3;3;4;1;7518262
180;73;Male;20-25;2-3 times at week;Student;daily;3;lose weight;Very important;Healty;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;4;1;1;1;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;calorie;anti-calorie;Right side recipe;5;1;1;1;1;pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;5;5;5;4;1;1698311
87;45;/;60+;0;Unemployed;daily;5;lose weight;Not important;Absolutely not healthy;Pizza;Grilled Green Onions with Picholine Olives, Lemon and Thyme;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;calorie;anti-calorie;Right side recipe;4;4;4;4;0;Sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;proteine;anti-calorie;Right side recipe;5;5;5;5;0;Icecream;Easy Peach Basil Sorbet – No Icecream Maker Needed recipes;Snicker Cake and Ice Cream Fantasy Recipe;nutriscore;anti-calorie;Right side recipe;2;3;2;4;0;1539990
165;67;Female;60+; 1 time at week;Public company staff;rarely;3;lose weight;Very important;Quite healty;smoked-salmon;Creamy Salmon Spread With Horseradish;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;etichette;anti-calorie;Left side recipe;5;5;5;5;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;4;4;1;1;0;fruit;Mixed Fruit Parfait;Passion Fruit-Filled Cupcakes;calorie;anti-calorie;Left side recipe;4;4;2;5;1;6531426
159;66;Female;41-59;0;Unemployed;rarely;3;lose weight;Important;Healty;chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Left side recipe;3;1;1;3;1;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;etichette;anti-calorie;Right side recipe;5;5;2;5;0;cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Right side recipe;5;1;1;2;1;8786563
165;60;Female;41-59;2-3 times at week;Public company staff;monthly;3;lose weight;Important;Quite healty;Chicken;Kickin' Chicken;Fried Chicken;proteine;anti-calorie;Left side recipe;3;4;4;4;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;4;4;4;0;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;Right side recipe;5;2;2;2;1;4988933
182;81;Male;20-25;4-5 times at week;Student;daily;3;lose weight;Very important;Healty;beef;Roast Beef On Toast With Fennel Slaw;Beef and Broccoli;calorie;anti-calorie;Right side recipe;4;4;4;5;0;rice;Cilantro Shrimp with Squash, Chard, and Wild Rice;Salmon Rice Fritters;nutriscore;anti-calorie;Left side recipe;4;4;4;5;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;None of these two;5;5;5;5;1;2765273
156;50;Female;41-59; 1 time at week;Public company staff;rarely;5;lose weight;Important;Healty;fish;Snapper with Fennel, Onion and Tomato;Smoked Fish with Mustard, Dill and Caper Sauce;etichette;anti-calorie;Right side recipe;2;4;5;4;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;2;3;4;2;1;torta;Caprese Cake;Torta di Castagne - Chestnut Cake;etichette;anti-calorie;Left side recipe;4;2;4;4;1;8662082
170;83;Male;20-25;4-5 times at week;Student;rarely;2;No goals;Very important;Healty;Patate;Patates Yiahni(Potatoes & Tomatoes);Potato Croquettes---Panzeroti di Patate;proteine;anti-calorie;Left side recipe;5;5;5;5;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Left side recipe;5;5;5;5;0;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Left side recipe;5;5;5;5;1;9022212
170;65;Female;41-59;2-3 times at week;Public company staff;daily;1;No goals;Very important;Quite healty;spaghetti;Vegetarian Stuffed Peppers;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;3;2;3;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;nutriscore;anti-calorie;Right side recipe;5;3;2;3;1;cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Right side recipe;5;3;2;3;1;8438437
160;50;Female;41-59;0;Personale dell'azienda pubblica;daily;3;No goals;Importante;Abbastanza sano;salmone;Smoked Salmon Tartare;Salmon Wellington;calorie;anti-calorie;Ricetta lato destro;5;5;3;2;1;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;proteine;anti-calorie;Ricetta lato destro;5;5;5;4;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;5;5;5;5;1;2170192
176;79;Male;20-25; 1 time at week;Student;rarely;1;lose weight;Important;Not healthy;hamburger;Crisp Onion Relish;Pulled Pork with Black Pepper Vinegar;proteine;anti-calorie;Right side recipe;5;3;2;4;0;rice;Quickie Pickled Radishes;Salmon Rice Fritters;calorie;anti-calorie;None of these two;2;4;4;3;1;pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;5;4;3;5;0;3626863
179;79;Male;20-25; 1 time at week;Student;monthly;2;No goals;Important;Quite healty;mozzarella;Balsamic Rhubarb with Breadpudding and Mozzarella;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;proteine;anti-calorie;Left side recipe;3;3;3;4;1;tomato;Tomato Chips;Tamale Pie with Fresh Tomato and Corn;calorie;anti-calorie;Left side recipe;3;5;5;5;1;cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Left side recipe;2;5;5;5;0;6233995
